francais,yo,pluriel,vu_dans
"Nous mettons en place des mesures techniques et organisationnelles pour protéger vos données :","A ń lo àwọn ìgbésẹ̀ ìmọ̀-ẹ̀rọ àti ti ètò láti dáàbò bo data rẹ:",,resources/views/legal/privacy.blade.php:31
"Nous nous réservons le droit de modifier ces conditions à tout moment. Les utilisateurs seront informés des modifications importantes.","A ní ẹ̀tọ́ láti yí àwọn òfin wọ̀nyí padà nígbàkúgbà. A ó fi àwọn ìyípadà pàtàkì tó àwọn olùlò létí.",,resources/views/legal/terms.blade.php:48
"Nous rencontrons actuellement des difficultés techniques. Veuillez réessayer dans quelques instants.","A ń ní ìṣòro ìmọ̀-ẹ̀rọ lọ́wọ́lọ́wọ́. Jọ̀wọ́ gbìyànjú lẹ́ẹ̀kan sí i láìpẹ́.",,resources/views/errors/database.blade.php:19
"Nouveau mot de passe","Ọ̀rọ̀ ìgbaniwọlé tuntun",,resources/views/profile/partials/update-password-form.blade.php:23
"Numéro de téléphone","Nọ́mbà fóònù",,resources/views/membres/edit.blade.php:41
Objet,Ète,,resources/views/legal/terms.blade.php:11
"Obligations de l'utilisateur","Ojúṣe olùlò",,resources/views/legal/terms.blade.php:28
"Obtenir le consentement des personnes enregistrées","Gba ìfọwọ́sí àwọn tí o forúkọ sílẹ̀",,resources/views/legal/terms.blade.php:34
Organisation,Àjọ,,resources/views/layouts/navigation.blade.php:60
"Oui, le bouton « Exporter PDF » de la page Statistiques produit un document reprenant les filtres appliqués.","Bẹ́ẹ̀ ni. Bọ́tìnnì «Mú PDF jáde» lórí ojú-ìwé Ìṣirò ń ṣẹ̀dá ìwé tó bá ìṣàyẹ̀wò tí o lò mu.",,resources/views/faq.blade.php:25
"Ouvrez une session et pointez les présences","Ṣí ìpàdé kan kí o sì kọ wíwàníbẹ̀ sílẹ̀",,resources/views/documentation.blade.php:13
"Ouvrez « Confidentialité (RGPD) » et utilisez « Retirer mon consentement » dans la section « Votre consentement personnel ».","Ṣí «Ìpamọ́ (RGPD)» kí o sì lo «Yọ ìfọwọ́sí mi kúrò» nínú apá «Ìfọwọ́sí ara ẹni rẹ».",,resources/views/faq.blade.php:30
"Ouvrez « Membres », cliquez sur « + Ajouter », renseignez le nom et le téléphone, choisissez le ou les groupes et cochez le consentement RGPD.","Ṣí «Àwọn ọmọ ẹgbẹ́», tẹ «+ Fi kún», kọ orúkọ àti nọ́mbà fóònù, yan ẹgbẹ́ tàbí àwọn ẹgbẹ́, kí o sì samì sí ìfọwọ́sí RGPD.",,resources/views/faq.blade.php:10
"Ouvrir le menu","Ṣí àtòjọ",,resources/views/layouts/navigation.blade.php:8
"Ouvrir une session","Ṣí ìpàdé",,resources/views/dashboard.blade.php:92
"Pas encore de compte ?","Ṣé o kò tíì ní àkàǹtì?",,resources/views/auth/login.blade.php:59
"Placez le QR du membre dans le cadre.","Gbé QR ọmọ ẹgbẹ́ sí inú férémù.",,resources/views/sessions/open.blade.php:28
Plus,Púpọ̀,,resources/views/analyses.blade.php:122
"Pointage instantané au scan","Ìforúkọsílẹ̀ kíákíá nígbà ìṣàyẹ̀wò",,resources/views/demo.blade.php:45
"Politique de confidentialité","Ìlànà ìpamọ́",,resources/views/legal/privacy.blade.php:5
"Pour toute question ou suggestion, n'hésitez pas à nous contacter.","Fún ìbéèrè tàbí àbá èyíkéyìí, má ṣe jáfara láti kàn sí wa.",,resources/views/about.blade.php:25
"Pour toute question, suggestion ou support technique :","Fún ìbéèrè, àbá tàbí ìrànlọ́wọ́ ìmọ̀-ẹ̀rọ èyíkéyìí:",,resources/views/contact.blade.php:10
"Pour une aide personnalisée, contactez-nous depuis la page Contact.","Fún ìrànlọ́wọ́ pàtàkì, kàn sí wa láti ojú-ìwé Ìbánisọ̀rọ̀.",,resources/views/documentation.blade.php:42
"Processus simplifié","Ìlànà tó rọrùn",,resources/views/demo.blade.php:54
Produit,Ọjà,,resources/views/components/footer.blade.php:5
Profil,Profáìlì,,resources/views/profile/edit.blade.php:4
"Programmez des événements pour voir le classement","Ṣètò àwọn ìṣẹ̀lẹ̀ láti rí ìtòlẹ́sẹẹsẹ",,resources/views/membres/index.blade.php:288
Progression,Ìlọsíwájú,,resources/views/analyses.blade.php:186
"Protection des données","Ààbò data",,resources/views/legal/privacy.blade.php:30
"Présence enregistrée pour :name","A ti kọ wíwàníbẹ̀ sílẹ̀ fún :name",,app/Http/Controllers/AttendanceSessionController.php:160
Présences,Wíwàníbẹ̀,,resources/views/analyses.blade.php:58
Présent,"Ó wà níbẹ̀",,resources/views/dashboardV.blade.php:45
Présents,"Àwọn tó wà níbẹ̀",,resources/views/pdf/statistiques.blade.php:109
"Prêt à commencer ?","Ṣé o ti ṣetán láti bẹ̀rẹ̀?",,resources/views/welcome.blade.php:59
"Puis-je exporter les statistiques ?","Ṣé mo lè mú àwọn ìṣirò jáde?",,resources/views/faq.blade.php:24
Période,Àkókò,,resources/views/analyses.blade.php:11
"Période actuelle","Àkókò lọ́wọ́lọ́wọ́",,resources/views/analyses.blade.php:78
"Période précédente","Àkókò tó kọjá",,resources/views/analyses.blade.php:83
"QR code invalide ou révoqué.","Kóòdù QR kò tọ́ tàbí a ti fagilé rẹ̀.",,app/Http/Controllers/AttendanceSessionController.php:125
"Qui était présent à une date donnée.","Ta ni ó wà níbẹ̀ ní ọjọ́ kan pàtó.",,resources/views/statistiques.blade.php:4
RGPD,RGPD,,resources/views/features.blade.php:34
Rang,Ipò,,resources/views/analyses.blade.php:182
"Rapports PDF détaillés","Ìjábọ̀ PDF kíkún",,resources/views/demo.blade.php:90
"Ravis de vous revoir","A yọ̀ láti tún rí ọ",,resources/views/auth/login.blade.php:3
"Recherche :",Ìwádìí:,,resources/views/pdf/statistiques.blade.php:102
Rechercher,Wá,,resources/views/statistiques.blade.php:21
"Rejoignez le système de gestion de présence.","Darapọ̀ mọ́ ètò ìṣàkóso wíwàníbẹ̀.",,resources/views/auth/register.blade.php:4
"Renvoyer l'email de vérification","Tún ímeèlì ìjẹ́rìísí ránṣẹ́",,resources/views/auth/verify-email.blade.php:18
"Respecter la confidentialité des données","Bọ̀wọ̀ fún ìpamọ́ data",,resources/views/legal/terms.blade.php:32
Responsabilité,Ojúṣe,,resources/views/legal/terms.blade.php:39
"Retour au tableau de bord","Padà sí pátákó ìdarí",,resources/views/sessions/open.blade.php:4
"Retour à l'accueil","Padà sí ojú-ìwé àkọ́kọ́",,resources/views/layouts/guest.blade.php:43
Réessayer,"Gbìyànjú lẹ́ẹ̀kan sí i",,resources/views/offline.blade.php:22
Régularité,Ìdúróṣinṣin,,resources/views/membres/index.blade.php:120
Réinitialiser,"Tún bẹ̀rẹ̀",,resources/views/analyses.blade.php:37
"Réinitialiser le mot de passe","Tún ọ̀rọ̀ ìgbaniwọlé ṣe",,resources/views/auth/reset-password.blade.php:35
"Scan QR ou saisie manuelle","Ìṣàyẹ̀wò QR tàbí kíkọ pẹ̀lú ọwọ́",,resources/views/demo.blade.php:72
"Scan rapide","Ìṣàyẹ̀wò kíákíá",,resources/views/demo.blade.php:40
"Scanner les présences","Ṣàyẹ̀wò wíwàníbẹ̀",,resources/views/dashboard.blade.php:82
"Score de régularité par membre et carte d'activité jour par jour","Ààmì ìdúróṣinṣin fún ọmọ ẹgbẹ́ kọ̀ọ̀kan àti àwòrán ìgbòkègbodò ojoojúmọ́",,resources/views/features.blade.php:30
"Se connecter",Wọlé,,resources/views/welcome.blade.php:21
"Se souvenir de moi","Rántí mi",,resources/views/auth/login.blade.php:43
"Service temporairement indisponible","Iṣẹ́ kò sí fún ìgbà díẹ̀",,resources/views/errors/database.blade.php:17
"Session en cours","Ìpàdé ń lọ lọ́wọ́",,resources/views/dashboard.blade.php:72
"Session en cours · ouverte le :date","Ìpàdé ń lọ lọ́wọ́ · a ṣí i ní :date",,resources/views/sessions/open.blade.php:10
"Session fermée.","A ti ti ìpàdé.",,app/Http/Controllers/AttendanceSessionController.php:78
"Session ouverte.","A ti ṣí ìpàdé.",,app/Http/Controllers/AttendanceSessionController.php:66
"Si vous découvrez une faille de sécurité, merci de nous contacter immédiatement pour que nous puissions la corriger rapidement.","Bí o bá rí àlàfo ààbò kan, jọ̀wọ́ kàn sí wa lẹ́sẹ̀kẹsẹ̀ kí a lè tún un ṣe kíákíá.",,resources/views/legal/security.blade.php:38
"Signalement de vulnérabilité","Ìròyìn àlàfo ààbò",,resources/views/legal/security.blade.php:36
Statistiques,Ìṣirò,,resources/views/features.blade.php:24
"Statistiques automatiques","Ìṣirò aládàáṣe",,resources/views/demo.blade.php:81
"Statistiques de présence","Ìṣirò wíwàníbẹ̀",,resources/views/pdf/statistiques.blade.php:6
"Statistiques et analyses","Ìṣirò àti ìtúpalẹ̀",,resources/views/about.blade.php:18
"Statistiques à jour","Ìṣirò tuntun",,resources/views/demo.blade.php:19
"Statistiques, classement de régularité et carte d'assiduité se mettent à jour d'eux-mêmes, groupe par groupe.","Àwọn ìṣirò, ìtòlẹ́sẹẹsẹ ìdúróṣinṣin àti àwòrán wíwàníbẹ̀ ń ṣàtúnṣe ara wọn, ẹgbẹ́ kọ̀ọ̀kan.",,resources/views/welcome.blade.php:51
"Suivi de l'assiduité dans le temps","Ìtọ́jú ìdúróṣinṣin ní àkókò gígùn",,resources/views/about.blade.php:19
"Suivi des absences","Ìtọ́jú àìsí",,resources/views/layouts/navigation.blade.php:64
Support,Ìrànlọ́wọ́,,resources/views/components/footer.blade.php:13
"Support technique","Ìrànlọ́wọ́ ìmọ̀-ẹ̀rọ",,resources/views/documentation.blade.php:41
Supprimer,Paarẹ́,,resources/views/membres/index.blade.php:216
"Supprimer ce membre","Paarẹ́ ọmọ ẹgbẹ́ yìí",,resources/views/membres/index.blade.php:334
"Supprimer le compte","Paarẹ́ àkàǹtì",,resources/views/profile/partials/delete-user-form.blade.php:4
Système,Ètò,,resources/views/statistiques.blade.php:153
"Système de vérification de présence","Ètò ìṣàyẹ̀wò wíwàníbẹ̀",,resources/views/layouts/public.blade.php:8
"Système de vérification de présence. Tous droits réservés.","Ètò ìṣàyẹ̀wò wíwàníbẹ̀. Gbogbo ẹ̀tọ́ ni a pamọ́.",,resources/views/components/footer.blade.php:29
Sécurité,Ààbò,,resources/views/legal/security.blade.php:5
"Tableau de bord","Pátákó ìdarí",,resources/views/layouts/public.blade.php:30
Taux,Ìwọ̀n,,resources/views/analyses.blade.php:185
"Taux : :rate%","Ìwọ̀n: :rate%",,resources/views/analyses.blade.php:80
"Taux de présence","Ìwọ̀n wíwàníbẹ̀",,resources/views/alerts/index.blade.php:24
"Tendances, assiduité et classement des membres","Ìtẹ̀sí, ìdúróṣinṣin àti ìtòlẹ́sẹẹsẹ àwọn ọmọ ẹgbẹ́",,resources/views/dashboard.blade.php:55
"Tendances, assiduité et classement des membres sur une période.","Ìtẹ̀sí, ìdúróṣinṣin àti ìtòlẹ́sẹẹsẹ àwọn ọmọ ẹgbẹ́ ní àkókò kan.",,resources/views/analyses.blade.php:4
"Tendances, classement des membres et comparaison de périodes","Ìtẹ̀sí, ìtòlẹ́sẹẹsẹ àwọn ọmọ ẹgbẹ́ àti ìfiwéra àkókò",,resources/views/documentation.blade.php:31
"Top 5 régularité","Àwọn 5 tó dúróṣinṣin jù",,resources/views/membres/index.blade.php:256
"Total : :count membre|Total : :count membres","Àpapọ̀: ọmọ ẹgbẹ́ :count|Àpapọ̀: ọmọ ẹgbẹ́ :count",oui,resources/views/membres/index.blade.php:41
"Total membres","Àpapọ̀ àwọn ọmọ ẹgbẹ́",,resources/views/analyses.blade.php:54
"Tous les membres ont pointé pour l'instant.","Gbogbo àwọn ọmọ ẹgbẹ́ ti forúkọ sílẹ̀ títí di ìsinsìnyí.",,resources/views/alerts/index.blade.php:44
"Traduction indicative. Seule la version française fait foi.","Ìtumọ̀ fún ìtọ́sọ́nà nìkan. Ẹ̀dà Faransé nìkan ni ó ní agbára.",,resources/views/components/legal-translation-notice.blade.php:5
Téléphone,Fóònù,,resources/views/membres/index.blade.php:76
"Téléphone :",Fóònù:,,resources/views/contact.blade.php:17
"Un carnet de présence numérique pour les groupes de l'église : un QR personnel par membre, un scan par le responsable, un suivi qui se fait de lui-même.","Ìwé wíwàníbẹ̀ oní-nọ́mbà fún àwọn ẹgbẹ́ ìjọ: QR ti ara ẹni fún ọmọ ẹgbẹ́ kọ̀ọ̀kan, ìṣàyẹ̀wò láti ọ̀dọ̀ olùdarí, àti ìtọ́jú tó ń ṣe ara rẹ̀.",,resources/views/welcome.blade.php:9
"Un nouveau lien de vérification a été envoyé à l'adresse email fournie lors de l'inscription.","A ti fi ọ̀nà ìjẹ́rìísí tuntun ránṣẹ́ sí àdírẹ́sì ímeèlì tí o fi sílẹ̀ nígbà ìforúkọsílẹ̀.",,resources/views/auth/verify-email.blade.php:8
"Un nouveau lien de vérification a été envoyé à votre adresse email.","A ti fi ọ̀nà ìjẹ́rìísí tuntun ránṣẹ́ sí àdírẹ́sì ímeèlì rẹ.",,resources/views/profile/partials/update-profile-information-form.blade.php:43
"Un responsable ne voit que les membres des groupes qu’il encadre.","Olùdarí kan a máa rí àwọn ọmọ ẹgbẹ́ tí ó ń darí nìkan.",,resources/views/legal/security.blade.php:19
"Une carte QR par membre, à scanner pour pointer sa présence","Káàdì QR kan fún ọmọ ẹgbẹ́ kọ̀ọ̀kan, tí a ń ṣàyẹ̀wò láti kọ wíwàníbẹ̀ sílẹ̀",,resources/views/features.blade.php:20
"Une carte par membre, à imprimer","Káàdì kan fún ọmọ ẹgbẹ́ kọ̀ọ̀kan, láti tẹ̀",,resources/views/demo.blade.php:44
"Une carte personnelle et imprimable qui identifie le membre, sans qu'il ait besoin d'un téléphone.","Káàdì ti ara ẹni tí a lè tẹ̀, tí ó ń dá ọmọ ẹgbẹ́ mọ̀ láìnílò fóònù.",,resources/views/welcome.blade.php:37
"Une erreur est survenue lors de la connexion. Veuillez réessayer.","Àṣìṣe kan ṣẹlẹ̀ nígbà ìwọlé. Jọ̀wọ́ gbìyànjú lẹ́ẹ̀kan sí i.",,app/Http/Controllers/Auth/AuthenticatedSessionController.php:43
"Une erreur technique est survenue. Veuillez réessayer plus tard.","Àṣìṣe ìmọ̀-ẹ̀rọ kan ṣẹlẹ̀. Jọ̀wọ́ gbìyànjú lẹ́ẹ̀kan sí i nígbà mìíràn.",,app/Http/Requests/Auth/LoginRequest.php:60
"Une fois votre compte supprimé, toutes ses données seront définitivement effacées. Avant de continuer, téléchargez les informations que vous souhaitez conserver.","Lẹ́yìn tí a bá pa àkàǹtì rẹ rẹ́, gbogbo data rẹ̀ ni a ó paarẹ́ pátápátá. Ṣáájú kí o tó tẹ̀síwájú, gba ìsọfúnni tí o fẹ́ pamọ́ sílẹ̀.",,resources/views/profile/partials/delete-user-form.blade.php:8
"Une fois votre compte supprimé, toutes ses données seront définitivement effacées. Saisissez votre mot de passe pour confirmer la suppression définitive.","Lẹ́yìn tí a bá pa àkàǹtì rẹ rẹ́, gbogbo data rẹ̀ ni a ó paarẹ́ pátápátá. Kọ ọ̀rọ̀ ìgbaniwọlé rẹ láti fọwọ́sí ìpaarẹ́ pátápátá.",,resources/views/profile/partials/delete-user-form.blade.php:27
"Une session est déjà active pour ce groupe. Fermez-la avant d'en ouvrir une nouvelle.","Ìpàdé kan ti ń lọ lọ́wọ́ fún ẹgbẹ́ yìí. Ti í ṣáájú kí o tó ṣí òmíràn.",,app/Http/Controllers/AttendanceSessionController.php:63
"Une session est ouverte pour la réunion ; le responsable scanne chaque QR au fur et à mesure.","A ṣí ìpàdé kan fún àpéjọ náà; olùdarí ń ṣàyẹ̀wò QR kọ̀ọ̀kan bí wọ́n ṣe ń dé.",,resources/views/welcome.blade.php:44
"Utilisation autorisée","Lílo tí a gbà láàyè",,resources/views/legal/terms.blade.php:18
"Utilisation des données","Lílo data",,resources/views/legal/privacy.blade.php:21
"Utilisez un mot de passe long et aléatoire pour protéger votre compte.","Lo ọ̀rọ̀ ìgbaniwọlé gígùn tí kò rọrùn láti mọ̀ láti dáàbò bo àkàǹtì rẹ.",,resources/views/profile/partials/update-password-form.blade.php:8
"Vos données sont utilisées exclusivement pour :","A ń lo data rẹ fún àwọn nǹkan wọ̀nyí nìkan:",,resources/views/legal/privacy.blade.php:22
"Vos droits","Ẹ̀tọ́ rẹ",,resources/views/legal/privacy.blade.php:40
"Votre adresse email n'est pas vérifiée.","A kò tíì jẹ́rìí àdírẹ́sì ímeèlì rẹ.",,resources/views/profile/partials/update-profile-information-form.blade.php:34
"Votre nom complet","Orúkọ kíkún rẹ",,resources/views/auth/register.blade.php:17
"Voulez-vous vraiment supprimer votre compte ?","Ṣé o dájú pé o fẹ́ pa àkàǹtì rẹ rẹ́?",,resources/views/profile/partials/delete-user-form.blade.php:23
"Vous encadrez :count groupe.|Vous encadrez :count groupes.","O ń darí ẹgbẹ́ :count.|O ń darí ẹgbẹ́ :count.",oui,resources/views/dashboard.blade.php:6
"Vous ne dirigez aucun groupe pour le moment.","O kò darí ẹgbẹ́ kankan fún ìsinsìnyí.",,resources/views/dashboardV.blade.php:64
"Vous ne dirigez aucun groupe.","O kò darí ẹgbẹ́ kankan.",,resources/views/membres/index.blade.php:63
"Vous êtes hors ligne","O kò sí lórí ìkànnì",,resources/views/offline.blade.php:17
"Vue d'ensemble des présences","Àkópọ̀ wíwàníbẹ̀",,resources/views/demo.blade.php:23
"Vérification de présence rapide","Ìṣàyẹ̀wò wíwàníbẹ̀ kíákíá",,resources/views/about.blade.php:16
"Vérification rapide","Ìṣàyẹ̀wò kíákíá",,resources/views/features.blade.php:14
Vérification…,"Ń ṣàyẹ̀wò…",,resources/views/alerts/index.blade.php:36
"Vérifier la présence","Ṣàyẹ̀wò wíwàníbẹ̀",,resources/views/layouts/navigation.blade.php:43
"Vérifier maintenant","Ṣàyẹ̀wò nísinsìnyí",,resources/views/alerts/index.blade.php:36
le,ní,,resources/views/alerts/index.blade.php:42
vous@exemple.com,iwo@apeere.com,,resources/views/auth/register.blade.php:44
"À améliorer","Ó nílò ìlọsíwájú",,resources/views/analyses.blade.php:209
"À propos","Nípa wa",,resources/views/components/footer.blade.php:7
Évolution,Ìyípadà,,resources/views/analyses.blade.php:88
"Évolution des présences","Ìyípadà wíwàníbẹ̀",,resources/views/analyses.blade.php:103
"Événements (30 j)","Àwọn ìṣẹ̀lẹ̀ (ọjọ́ 30)",,resources/views/alerts/index.blade.php:20
"Êtes-vous sûr de vouloir supprimer ce membre ?","Ṣé o dájú pé o fẹ́ pa ọmọ ẹgbẹ́ yìí rẹ́?",,resources/views/membres/index.blade.php:211
